"","NOM_ENT","NOM_MUN","NOM_LOC","ALTITUD","POBTOT","lon_dd","lat_dd","CVE_EDO","CVE_MUN","CVE_LOC","COV_","COV_ID"
"81622","Nuevo Le,"Cadereyta Jim,"SAN ISIDRO","0350",24,-99.9752777778,25.4091666667,"19","009","0600",81623,81622
"81623","Nuevo Le,"Cadereyta Jim,"RANCHO VIEJO (RANCHO GONZ,"0290",3,-99.8591666667,25.5161111111,"19","009","0605",81624,81623
"81624","Nuevo Le,"Cadereyta Jim,"LA LAGUNITA (SAN RAFAEL)","0342",3,-100.02,25.4997222222,"19","009","0606",81625,81624
"81625","Nuevo Le,"Cadereyta Jim,"PALMITOS","0330",17,-99.9791666667,25.4686111111,"19","009","0607",81626,81625
"81626","Nuevo Le,"Cadereyta Jim,"LA ESPERANZA","0320",10,-99.9583333333,25.4658333333,"19","009","0608",81627,81626
"81627","Nuevo Le,"Cadereyta Jim,"LA GLORIA (LA PROVIDENCIA)","0341",3,-100.046388889,25.5008333333,"19","009","0610",81628,81627
"81628","Nuevo Le,"Cadereyta Jim,"DIECINUEVE DE MAYO","0363",1,-100.049166667,25.5547222222,"19","009","0612",81629,81628
"81629","Nuevo Le,"Cadereyta Jim,"EL BARRANQUITO (CAMPESTRE)","0308",1,-99.9361111111,25.4458333333,"19","009","0619",81630,81629
"81630","Nuevo Le,"Cadereyta Jim,"CERESO CADEREYTA","0320",1107,-99.9619444444,25.6105555556,"19","009","0620",81631,81630
"81631","Nuevo Le,"Cadereyta Jim,"LA CHUECA (EL FAIS,"0330",19,-99.9808333333,25.5191666667,"19","009","0621",81632,81631
"81632","Nuevo Le,"Cadereyta Jim,"LA CHUECA","0328",10,-99.9847222222,25.5288888889,"19","009","0622",81633,81632
"81633","Nuevo Le,"Cadereyta Jim,"LA CHUECA","0310",25,-99.9627777778,25.535,"19","009","0623",81634,81633
"81634","Nuevo Le,"Cadereyta Jim,"LA MARRANERA","0330",8,-99.9472222222,25.4252777778,"19","009","0624",81635,81634
"81635","Nuevo Le,"Cadereyta Jim,"EL SALITRILLO","0320",7,-99.9672222222,25.5222222222,"19","009","0627",81636,81635
"81636","Nuevo Le,"Cadereyta Jim,"SAN JOSECITO","0291",1,-99.9186111111,25.6005555556,"19","009","0629",81637,81636
"81637","Nuevo Le,"Cadereyta Jim,"SANTA EFIGENIA (CAMPESTRE)","0340",15,-99.9925,25.515,"19","009","0630",81638,81637
"81638","Nuevo Le,"Cadereyta Jim,"SANTA MAR,"0270",4,-99.8641666667,25.5294444444,"19","009","0631",81639,81638
"81639","Nuevo Le,"Cadereyta Jim,"NINGUNO","0330",3,-100.016111111,25.5433333333,"19","009","0634",81640,81639
"81640","Nuevo Le,"Cadereyta Jim,"CA,"0450",5,-100.122777778,25.5258333333,"19","009","0640",81641,81640
"81641","Nuevo Le,"Cadereyta Jim,"LOMA BONITA","0297",7,-99.8661111111,25.495,"19","009","0642",81642,81641
"81642","Nuevo Le,"Cadereyta Jim,"PALMITOS","0319",10,-99.9516666667,25.4536111111,"19","009","0645",81643,81642
"81643","Nuevo Le,"Cadereyta Jim,"PALMITOS","0345",75,-99.9688888889,25.4477777778,"19","009","0646",81644,81643
"81644","Nuevo Le,"Cadereyta Jim,"EL REGALO DE DIOS KIL,"0377",6,-100.003611111,25.3569444444,"19","009","0648",81645,81644
"81645","Nuevo Le,"Cadereyta Jim,"RICARDO GONZ,"0380",2,-100.004166667,25.3602777778,"19","009","0650",81646,81645
"81646","Nuevo Le,"Cadereyta Jim,"PUERTA DORADA","0388",18,-100.007777778,25.3952777778,"19","009","0654",81647,81646
"81647","Nuevo Le,"Cadereyta Jim,"CAMPESTRE PROVIDENCIA","0353",7,-100.053055556,25.5016666667,"19","009","0655",81648,81647
"81648","Nuevo Le,"Cadereyta Jim,"PORTAL SANTA ISABEL","0355",5,-100.026111111,25.4822222222,"19","009","0656",81649,81648
"81649","Nuevo Le,"Cadereyta Jim,"EL CISNE","0375",6,-100.071111111,25.4697222222,"19","009","0657",81650,81649
"81650","Nuevo Le,"Cadereyta Jim,"SAN FELIPE","0347",1,-100.050833333,25.4936111111,"19","009","0658",81651,81650
"81651","Nuevo Le,"Cadereyta Jim,"PROYECTO PALMITOS DOS","0310",12,-99.9508333333,25.4688888889,"19","009","0659",81652,81651
"81652","Nuevo Le,"Cadereyta Jim,"AMPLIACI,"0287",11,-99.8336111111,25.5241666667,"19","009","0661",81653,81652
"81653","Nuevo Le,"Cadereyta Jim,"AMPLIACI,"0241",6,-99.735,25.4794444444,"19","009","0663",81654,81653
"81654","Nuevo Le,"Carmen","CARMEN","0500",9568,-100.363055556,25.9347222222,"19","010","0001",81655,81654
"81655","Nuevo Le,"Carmen","LOS ALGODONES","0497",14,-100.34,25.8697222222,"19","010","0004",81656,81655
"81656","Nuevo Le,"Carmen","EL PARRE,"0494",17,-100.373333333,25.9180555556,"19","010","0024",81657,81656
"81657","Nuevo Le,"Carmen","SAN ANDR,"0496",5,-100.341944444,25.8752777778,"19","010","0026",81658,81657
"81658","Nuevo Le,"Carmen","LA LLANURA INFINITA","0491",4,-100.325,25.8533333333,"19","010","0040",81659,81658
"81659","Nuevo Le,"Carmen","LA PELECHA (LOS ALGODONES)","0495",6,-100.339166667,25.8722222222,"19","010","0041",81660,81659
"81660","Nuevo Le,"Carmen","EL FAIS,"0480",12,-100.369444444,25.9227777778,"19","010","0044",81661,81660
"81661","Nuevo Le,"Carmen","LA PESADILLA (LA HUESERA)","0473",4,-100.305,25.8697222222,"19","010","0047",81662,81661
"81662","Nuevo Le,"Carmen","YURICO","0480",70,-100.319722222,25.8663888889,"19","010","0050",81663,81662
"81663","Nuevo Le,"Carmen","LA MERCED","0479",4,-100.351666667,25.9158333333,"19","010","0067",81664,81663
"81664","Nuevo Le,"Carmen","FRACCIONAMIENTO DEL VALLE","0498",253,-100.379444444,25.9230555556,"19","010","0069",81665,81664
"81665","Nuevo Le,"Carmen","LA HERRADURA","0480",13,-100.368055556,25.9213888889,"19","010","0083",81666,81665
"81666","Nuevo Le,"Carmen","SANDO UNO","0492",3,-100.326111111,25.8508333333,"19","010","0087",81667,81666
"81667","Nuevo Le,"Carmen","SAN JUAN DEL PEDREGAL","0486",16,-100.382777778,25.9252777778,"19","010","0092",81668,81667
"81668","Nuevo Le,"Carmen","EL PARA,"0480",2,-100.3675,25.9186111111,"19","010","0101",81669,81668
"81669","Nuevo Le,"Carmen","SAN JAVIER","0490",4,-100.3725,25.9194444444,"19","010","0102",81670,81669
"81670","Nuevo Le,"Carmen","SAN JOS,"0500",4,-100.341666667,25.8602777778,"19","010","0104",81671,81670
"81671","Nuevo Le,"Carmen","LOS VILLARREAL","0479",5,-100.345277778,25.9386111111,"19","010","0109",81672,81671
"81672","Nuevo Le,"Carmen","ELGO (LOS TUBOS)","0481",1,-100.353333333,25.9058333333,"19","010","0110",81673,81672
"81673","Nuevo Le,"Carmen","EMILIANO ZAPATA","0560",180,-100.386944444,25.8638888889,"19","010","0113",81674,81673
"81674","Nuevo Le,"Carmen","EL BARRIL","0499",12,-100.335833333,25.8480555556,"19","010","0114",81675,81674
"81675","Nuevo Le,"Carmen","LA BARRANCA","0500",2,-100.345277778,25.8627777778,"19","010","0118",81676,81675
"81676","Nuevo Le,"Carmen","SAN JOS,"0483",7,-100.309166667,25.8594444444,"19","010","0119",81677,81676
"81677","Nuevo Le,"Carmen","EL RANCHITO","0458",27,-100.335277778,25.9277777778,"19","010","0124",81678,81677
"81678","Nuevo Le,"Carmen","EL ENCINAL","0492",4,-100.373611111,25.935,"19","010","0125",81679,81678
"81679","Nuevo Le,"Carmen","BUENA VISTA","0514",1833,-100.36,25.8522222222,"19","010","0129",81680,81679
"81680","Nuevo Le,"Carmen","ALIANZA REAL","0541",4022,-100.382777778,25.8513888889,"19","010","0131",81681,81680
"81681","Nuevo Le,"Cerralvo","CIUDAD CERRALVO","0279",7169,-99.6152777778,26.09,"19","011","0001",81682,81681
"81682","Nuevo Le,"Cerralvo","ARROYO DE PIEDRA","0227",16,-99.5875,26.1469444444,"19","011","0007",81683,81682
"81683","Nuevo Le,"Cerralvo","BENAVIDES","0310",8,-99.6463888889,26.0763888889,"19","011","0010",81684,81683
"81684","Nuevo Le,"Cerralvo","BOTELLOS DE ARRIBA","0269",72,-99.6541666667,26.1744444444,"19","011","0016",81685,81684
"81685","Nuevo Le,"Cerralvo","LA CAPULINA","0249",3,-99.5897222222,26.1044444444,"19","011","0027",81686,81685
"81686","Nuevo Le,"Cerralvo","CARBONERAS","0318",9,-99.6611111111,26.0755555556,"19","011","0028",81687,81686
"81687","Nuevo Le,"Cerralvo","CARRICITOS","0300",2,-99.6594444444,26.0047222222,"19","011","0033",81688,81687
"81688","Nuevo Le,"Cerralvo","LA CEBOLLA","0351",3,-99.7230555556,26.1483333333,"19","011","0036",81689,81688
"81689","Nuevo Le,"Cerralvo","LA PRESA (CI,"0300",1,-99.6516666667,26.1036111111,"19","011","0039",81690,81689
"81690","Nuevo Le,"Cerralvo","CORRAL DE BARRANCOS","0339",2,-99.6838888889,26.0930555556,"19","011","0042",81691,81690
"81691","Nuevo Le,"Cerralvo","EL EBANAL","0397",3,-99.7194444444,26.0225,"19","011","0049",81692,81691
"81692","Nuevo Le,"Cerralvo","LA ERMITA","0265",15,-99.6230555556,26.1105555556,"19","011","0055",81693,81692
"81693","Nuevo Le,"Cerralvo","LA ESCONDIDA (LA ESCONDIDITA)","0311",1,-99.7055555556,26.1786111111,"19","011","0057",81694,81693
"81694","Nuevo Le,"Cerralvo","LA ESPERANZA","0341",1,-99.7116666667,26.1444444444,"19","011","0058",81695,81694
"81695","Nuevo Le,"Cerralvo","JU,"0190",148,-99.5369444444,26.1680555556,"19","011","0083",81696,81695
"81696","Nuevo Le,"Cerralvo","LOS LAURELES","0289",1,-99.6622222222,26.1791666667,"19","011","0085",81697,81696
"81697","Nuevo Le,"Cerralvo","CI,"0256",2,-99.6380555556,26.2102777778,"19","011","0088",81698,81697
"81698","Nuevo Le,"Cerralvo","LA MAJADA DEL CURA (EL ENCINO GRANDE)","0316",4,-99.6805555556,26.1494444444,"19","011","0092",81699,81698
"81699","Nuevo Le,"Cerralvo","MARTINITOS","0229",49,-99.5722222222,25.9916666667,"19","011","0095",81700,81699
"81700","Nuevo Le,"Cerralvo","EL MILAGRO","0526",2,-99.7744444444,26.0269444444,"19","011","0099",81701,81700
"81701","Nuevo Le,"Cerralvo","MOJARRAS","0340",39,-99.6977777778,25.9566666667,"19","011","0100",81702,81701
"81702","Nuevo Le,"Cerralvo","EL PALMARITO","0200",7,-99.5555555556,25.9111111111,"19","011","0117",81703,81702
"81703","Nuevo Le,"Cerralvo","PALO BLANCO","0241",1,-99.5938888889,25.9511111111,"19","011","0118",81704,81703
"81704","Nuevo Le,"Cerralvo","EL UNO","0300",18,-99.6391666667,26.0425,"19","011","0138",81705,81704
"81705","Nuevo Le,"Cerralvo","U,"0321",53,-99.6888888889,25.9702777778,"19","011","0172",81706,81705
"81706","Nuevo Le,"Cerralvo","UR,"0501",1,-99.7838888889,26.0933333333,"19","011","0174",81707,81706
"81707","Nuevo Le,"Cerralvo","EL ZARCO","0399",1,-99.7569444444,26.1325,"19","011","0179",81708,81707
"81708","Nuevo Le,"Cerralvo","EL PUERTO DE BOQUILLAS","0218",3,-99.5697222222,25.9311111111,"19","011","0180",81709,81708
"81709","Nuevo Le,"Cerralvo","EL CANELO","0340",2,-99.7088888889,26.1322222222,"19","011","0196",81710,81709
"81710","Nuevo Le,"Cerralvo","MONTE VERDE","0316",7,-99.6952777778,26.1655555556,"19","011","0197",81711,81710
"81711","Nuevo Le,"Cerralvo","EL CHILPIT,"0253",2,-99.6152777778,26.1922222222,"19","011","0201",81712,81711
"81712","Nuevo Le,"Cerralvo","LOS CADETES","0251",2,-99.6130555556,26.2019444444,"19","011","0205",81713,81712
"81713","Nuevo Le,"Cerralvo","SIETE COMAS","0250",4,-99.5980555556,26.115,"19","011","0209",81714,81713
"81714","Nuevo Le,"Cerralvo","LA TUNERA","0250",3,-99.605,26.1169444444,"19","011","0210",81715,81714
"81715","Nuevo Le,"Cerralvo","EL NOGALITO","0256",13,-99.6230555556,26.1391666667,"19","011","0219",81716,81715
"81716","Nuevo Le,"Cerralvo","UR,"0644",1,-99.8366666667,26.0955555556,"19","011","0223",81717,81716
"81717","Nuevo Le,"Cerralvo","LOS REYES","0420",1,-99.7638888889,26.1358333333,"19","011","0226",81718,81717
"81718","Nuevo Le,"Cerralvo","LA CONCEPCI,"0319",1,-99.6755555556,25.9908333333,"19","011","0232",81719,81718
"81719","Nuevo Le,"Cerralvo","RA,"0271",7,-99.6186111111,26.0986111111,"19","011","0239",81720,81719
"81720","Nuevo Le,"Cerralvo","CAL ROMA","0300",7,-99.6291666667,26.06,"19","011","0252",81721,81720
"81721","Nuevo Le,"Cerralvo","EL SALITRE","0300",5,-99.6383333333,26.0569444444,"19","011","0253",81722,81721
"81722","Nuevo Le,"Cerralvo","LAS FLORES","0270",1,-99.6444444444,26.19,"19","011","0295",81723,81722
"81723","Nuevo Le,"Cerralvo","EL JUICIO","0321",7,-99.6763888889,26.0438888889,"19","011","0302",81724,81723
"81724","Nuevo Le,"Cerralvo","MANNATOU","0332",4,-99.6858333333,26.0461111111,"19","011","0304",81725,81724
"81725","Nuevo Le,"Cerralvo","LAS PAMORANAS (EL CUATE CHIVERO)","0203",2,-99.5688888889,26.1783333333,"19","011","0306",81726,81725
"81726","Nuevo Le,"Cerralvo","LA LOBERA","0230",3,-99.6069444444,26.1758333333,"19","011","0308",81727,81726
"81727","Nuevo Le,"Cerralvo","EL RANCHITO (GUADALUPE VICTORIA)","0259",2,-99.6155555556,26.0072222222,"19","011","0309",81728,81727
"81728","Nuevo Le,"Cerralvo","SAN FERNANDO DE LOS REYES","0320",2,-99.6952777778,26.1597222222,"19","011","0314",81729,81728
"81729","Nuevo Le,"Cerralvo","SAN PABLO","0331",1,-99.6766666667,26.0569444444,"19","011","0315",81730,81729
"81730","Nuevo Le,"Cerralvo","TREINTA Y UNO DE ENERO","0303",2,-99.6416666667,26.0741666667,"19","011","0350",81731,81730
"81731","Nuevo Le,"Cerralvo","EL H,"0236",3,-99.5847222222,26.1175,"19","011","0351",81732,81731
"81732","Nuevo Le,"Cerralvo","LA PALMA","0229",2,-99.5947222222,26.1575,"19","011","0354",81733,81732
"81733","Nuevo Le,"Cerralvo","EL EBANAL","0226",1,-99.5922222222,26.1588888889,"19","011","0378",81734,81733
"81734","Nuevo Le,"Cerralvo","EL DURAZNO","0300",5,-99.695,26.19,"19","011","0379",81735,81734
"81735","Nuevo Le,"Cerralvo","LA ESPERANZA","0294",1,-99.6955555556,26.2013888889,"19","011","0380",81736,81735
"81736","Nuevo Le,"Cerralvo","SAN JUAN","0260",1,-99.6466666667,26.2083333333,"19","011","0382",81737,81736
"81737","Nuevo Le,"Cerralvo","EL MEZQUITAL","0257",2,-99.6358333333,26.2044444444,"19","011","0385",81738,81737
"81738","Nuevo Le,"Cerralvo","EL ,"0301",1,-99.6627777778,26.1522222222,"19","011","0387",81739,81738
"81739","Nuevo Le,"Cerralvo","VISTA HERMOSA","0284",1,-99.65,26.1408333333,"19","011","0388",81740,81739
"81740","Nuevo Le,"Cerralvo","LOS HIGOS","0299",2,-99.6547222222,26.1427777778,"19","011","0389",81741,81740
"81741","Nuevo Le,"Cerralvo","EL CATORCE","0666",1,-99.8863888889,26.1163888889,"19","011","0394",81742,81741
"81742","Nuevo Le,"Cerralvo","LA ILUSI,"0322",7,-99.6722222222,26.0433333333,"19","011","0395",81743,81742
"81743","Nuevo Le,"Cerralvo","EL ENCINO DE LA BANDERA","0313",1,-99.6591666667,26.0847222222,"19","011","0398",81744,81743
"81744","Nuevo Le,"Cerralvo","EL TERRERO","0280",2,-99.6827777778,26.2102777778,"19","011","0401",81745,81744
"81745","Nuevo Le,"Cerralvo","EL MILAGRO","0274",8,-99.6736111111,26.2108333333,"19","011","0402",81746,81745
"81746","Nuevo Le,"Cerralvo","SANTA M,"0210",13,-99.5444444444,26.1375,"19","011","0405",81747,81746
"81747","Nuevo Le,"Cerralvo","EL HERRADERO","0291",7,-99.6466666667,26.1608333333,"19","011","0407",81748,81747
"81748","Nuevo Le,"Cerralvo","CA,"0295",1,-99.6566666667,26.1588888889,"19","011","0408",81749,81748
"81749","Nuevo Le,"Cerralvo","LA HACIENDITA","0270",5,-99.6186111111,26.1033333333,"19","011","0411",81750,81749
"81750","Nuevo Le,"Cerralvo","LA ZONA","0283",3,-99.6052777778,26.0697222222,"19","011","0416",81751,81750
"81751","Nuevo Le,"Cerralvo","EL NARANJO","0582",1,-99.8291666667,26.0691666667,"19","011","0417",81752,81751
"81752","Nuevo Le,"Cerralvo","SANTA FRANCISCA","0847",3,-99.8997222222,26.0538888889,"19","011","0418",81753,81752
"81753","Nuevo Le,"Cerralvo","LA CURVA","0310",6,-99.6508333333,26.0747222222,"19","011","0425",81754,81753
"81754","Nuevo Le,"Cerralvo","EL PALMERITO","0460",4,-99.7222222222,26.0322222222,"19","011","0428",81755,81754
"81755","Nuevo Le,"Cerralvo","LA PEDRERA","0435",2,-99.7436111111,26.0219444444,"19","011","0429",81756,81755
"81756","Nuevo Le,"Cerralvo","EL RODEO","0300",12,-99.6366666667,26.0491666667,"19","011","0430",81757,81756
"81757","Nuevo Le,"Cerralvo","SANTA ANITA (ENCINO GACHO)","0339",1,-99.7072222222,26.1494444444,"19","011","0431",81758,81757
"81758","Nuevo Le,"Cerralvo","EL CA,"0270",4,-99.6586111111,26.2036111111,"19","011","0437",81759,81758
"81759","Nuevo Le,"Cerralvo","EL HALC,"0310",1,-99.6747222222,26.1483333333,"19","011","0439",81760,81759
"81760","Nuevo Le,"Cerralvo","EL SALIDE,"0320",2,-99.6741666667,26.1202777778,"19","011","0444",81761,81760
"81761","Nuevo Le,"Cerralvo","EL SOL","0250",1,-99.6372222222,26.2152777778,"19","011","0446",81762,81761
"81762","Nuevo Le,"Cerralvo","LAS CUMBRES","0280",1,-99.6155555556,26.1488888889,"19","011","0451",81763,81762
"81763","Nuevo Le,"Cerralvo","EL RANCHITO","0258",5,-99.6230555556,26.1255555556,"19","011","0453",81764,81763
"81764","Nuevo Le,"Cerralvo","SAN JOS,"0289",3,-99.6647222222,26.1638888889,"19","011","0454",81765,81764
"81765","Nuevo Le,"Cerralvo","EL DESAF,"0319",1,-99.6630555556,26.0525,"19","011","0456",81766,81765
"81766","Nuevo Le,"Cerralvo","LA ERMITA","0256",4,-99.6211111111,26.1213888889,"19","011","0457",81767,81766
"81767","Nuevo Le,"Cerralvo","PRESIDENTES UNO","0271",4,-99.6191666667,26.0991666667,"19","011","0461",81768,81767
"81768","Nuevo Le,"Cerralvo","SANTA ROBERTA","0230",2,-99.5747222222,26.1141666667,"19","011","0462",81769,81768
"81769","Nuevo Le,"Cerralvo","ELISEO VALDEZ","0317",2,-99.6688888889,25.9975,"19","011","0464",81770,81769
"81770","Nuevo Le,"Cerralvo","RANCHO DE MENO","0321",1,-99.6819444444,25.9811111111,"19","011","0465",81771,81770
"81771","Nuevo Le,"Cerralvo","EL GORJEO DE LAS AVES UNO","0314",3,-99.6772222222,25.9672222222,"19","011","0466",81772,81771
"81772","Nuevo Le,"Cerralvo","EL GORJEO DE LAS AVES DOS","0305",2,-99.67,25.9688888889,"19","011","0467",81773,81772
"81773","Nuevo Le,"Cerralvo","LA CI,"0312",2,-99.6733333333,26.115,"19","011","0470",81774,81773
"81774","Nuevo Le,"Cerralvo","LOS DOS ABUELOS","0340",3,-99.6825,26.0863888889,"19","011","0471",81775,81774
"81775","Nuevo Le,"Cerralvo","GUAYAC,"0339",5,-99.7061111111,26.1258333333,"19","011","0474",81776,81775
"81776","Nuevo Le,"Ci,"CI,"0399",15162,-100.166944444,25.9533333333,"19","012","0001",81777,81776
"81777","Nuevo Le,"Ci,"EL RECUERDO","0420",5,-100.168333333,25.9833333333,"19","012","0015",81778,81777
"81778","Nuevo Le,"Ci,"LOS TRES PAPALOTES","0438",4,-100.136111111,25.9866666667,"19","012","0021",81779,81778
"81779","Nuevo Le,"Ci,"LAS PALMAS","0430",1,-100.152777778,25.9905555556,"19","012","0026",81780,81779
"81780","Nuevo Le,"Ci,"LA LAGUNA DOS","0420",1,-100.127777778,25.9711111111,"19","012","0039",81781,81780
"81781","Nuevo Le,"Ci,"SAN ANTONIO (SANTO TOM,"0382",9,-100.17,25.9358333333,"19","012","0042",81782,81781
"81782","Nuevo Le,"Ci,"SAN ANTONIO","0380",1,-100.171666667,25.9194444444,"19","012","0043",81783,81782
"81783","Nuevo Le,"Ci,"SAN FRANCISCO UNO","0410",16,-100.205555556,25.9391666667,"19","012","0045",81784,81783
"81784","Nuevo Le,"Ci,"SAN LEONARDO","0447",1,-100.129444444,26.0008333333,"19","012","0047",81785,81784
"81785","Nuevo Le,"Ci,"SANTA TERESITA","0407",2,-100.198888889,25.9169444444,"19","012","0051",81786,81785
"81786","Nuevo Le,"Ci,"VAQUER,"0407",3,-100.188055556,25.9308333333,"19","012","0053",81787,81786
"81787","Nuevo Le,"Ci,"LA LIBERTAD","0400",8,-100.174444444,25.9394444444,"19","012","0059",81788,81787
"81788","Nuevo Le,"Ci,"RANCHO VERDE","0382",6,-100.170555556,25.9455555556,"19","012","0061",81789,81788
"81789","Nuevo Le,"Ci,"SANJUANITA","0380",3,-100.161111111,25.925,"19","012","0064",81790,81789
"81790","Nuevo Le,"Ci,"EL PUENTE (VAQUER,"0400",9,-100.192777778,25.9225,"19","012","0070",81791,81790
"81791","Nuevo Le,"Ci,"LA GANADERA","0400",3,-100.183333333,25.9375,"19","012","0072",81792,81791
"81792","Nuevo Le,"Ci,"LA AURORA","0424",3,-100.236944444,25.9458333333,"19","012","0074",81793,81792
"81793","Nuevo Le,"Ci,"VILLAS CAMPESTRES","0418",325,-100.220277778,25.92,"19","012","0078",81794,81793
"81794","Nuevo Le,"Ci,"NORA NELLY UNO","0415",37,-100.176666667,25.9783333333,"19","012","0089",81795,81794
"81795","Nuevo Le,"Ci,"NORA NELLY DOS","0414",1,-100.181388889,25.9858333333,"19","012","0090",81796,81795
"81796","Nuevo Le,"Ci,"LA LAGUNA UNO","0421",1,-100.1375,25.9705555556,"19","012","0092",81797,81796
"81797","Nuevo Le,"Ci,"TIERRA BLANCA","0400",15,-100.203888889,25.985,"19","012","0103",81798,81797
"81798","Nuevo Le,"Ci,"LOS ,"0430",7,-100.143611111,25.9766666667,"19","012","0112",81799,81798
"81799","Nuevo Le,"Ci,"SANTA MAR,"0420",26,-100.148333333,25.9669444444,"19","012","0114",81800,81799
"81800","Nuevo Le,"Ci,"BUENA VISTA","0460",4,-100.118888889,26.0125,"19","012","0119",81801,81800
"81801","Nuevo Le,"Ci,"EL CORTIJO","0415",5,-100.181388889,25.9916666667,"19","012","0125",81802,81801
"81802","Nuevo Le,"Ci,"MAR,"0400",5,-100.180833333,25.9405555556,"19","012","0126",81803,81802
"81803","Nuevo Le,"Ci,"MAGUEYES (ELIZABETH)","0416",3,-100.183333333,25.9944444444,"19","012","0128",81804,81803
"81804","Nuevo Le,"Ci,"LA ESPERANZA","0390",2,-100.170833333,25.9419444444,"19","012","0129",81805,81804
"81805","Nuevo Le,"Ci,"EL PUERTO","0468",17,-100.123055556,26.0144444444,"19","012","0134",81806,81805
"81806","Nuevo Le,"Ci,"LOS R,"0424",1,-100.151111111,25.9772222222,"19","012","0137",81807,81806
"81807","Nuevo Le,"Ci,"TIERRA BLANCA","0405",27,-100.193333333,25.9766666667,"19","012","0139",81808,81807
"81808","Nuevo Le,"Ci,"SAN FRANCISCO DOS","0414",16,-100.212777778,25.9355555556,"19","012","0140",81809,81808
"81809","Nuevo Le,"Ci,"EL SAUZ","0394",7,-100.186944444,25.9575,"19","012","0142",81810,81809
"81810","Nuevo Le,"Ci,"YEMIL,"0382",5,-100.170833333,25.9480555556,"19","012","0143",81811,81810
"81811","Nuevo Le,"Ci,"FCL","0396",4,-100.180555556,25.9130555556,"19","012","0144",81812,81811
"81812","Nuevo Le,"Ci,"SAN LUIS","0400",57,-100.193611111,25.9186111111,"19","012","0146",81813,81812
"81813","Nuevo Le,"Ci,"CI,"0433",4,-100.141944444,25.9880555556,"19","012","0151",81814,81813
"81814","Nuevo Le,"Ci,"PORTAL DE LAS SALINAS","0430",2671,-100.143333333,25.9822222222,"19","012","0152",81815,81814
"81815","Nuevo Le,"Ci,"LOS PANCHOS","0400",8,-100.183333333,25.9666666667,"19","012","0155",81816,81815
"81816","Nuevo Le,"Ci,"EL CAPIT,"0452",2,-100.121388889,26.0061111111,"19","012","0158",81817,81816
"81817","Nuevo Le,"Ci,"EL REFUGIO (LA PE,"0420",3,-100.145833333,25.9619444444,"19","012","0159",81818,81817
"81818","Nuevo Le,"Ci,"LOS NOGALITOS","0404",1,-100.185833333,25.9694444444,"19","012","0163",81819,81818
"81819","Nuevo Le,"Ci,"EL PEROL","0456",2,-100.121111111,26.0083333333,"19","012","0164",81820,81819
"81820","Nuevo Le,"Ci,"CUATRO MILPAS","0410",1,-100.1975,25.9380555556,"19","012","0172",81821,81820
"81821","Nuevo Le,"Ci,"SANTA ISABEL","0402",9,-100.191944444,25.9725,"19","012","0173",81822,81821
"81822","Nuevo Le,"Ci,"GUAYAC,"0416",2,-100.155,25.9630555556,"19","012","0177",81823,81822
"81823","Nuevo Le,"Ci,"SAN JUAN","0420",2,-100.165,25.9741666667,"19","012","0183",81824,81823
"81824","Nuevo Le,"Ci,"SANTA MARTHA","0416",1,-100.220555556,25.9380555556,"19","012","0185",81825,81824
"81825","Nuevo Le,"Ci,"CI,"0424",10,-100.147777778,25.9741666667,"19","012","0186",81826,81825
"81826","Nuevo Le,"Ci,"SAN ANDR,"0440",2,-100.272777778,26.0205555556,"19","012","0189",81827,81826
"81827","Nuevo Le,"Ci,"EL CARMEN TRES","0400",1,-100.189444444,25.9169444444,"19","012","0204",81828,81827
"81828","Nuevo Le,"Ci,"REAL DEL SOL","0400",5983,-100.181111111,25.9383333333,"19","012","0211",81829,81828
"81829","Nuevo Le,"Ci,"SAN ANTONIO","0380",1,-100.169722222,25.9375,"19","012","0220",81830,81829
"81830","Nuevo Le,"Ci,"SAN ISIDRO","0480",1,-100.117222222,26.0277777778,"19","012","0221",81831,81830
"81831","Nuevo Le,"Ci,"TECNOTUBOS","0440",1,-100.133333333,25.9938888889,"19","012","0222",81832,81831
"81832","Nuevo Le,"Ci,"EMILIANO ZAPATA","0410",5,-100.178055556,25.9733333333,"19","012","0224",81833,81832
"81833","Nuevo Le,"Ci,"CAMPESTRE LA FORTUNA","0413",14,-100.232222222,25.9697222222,"19","012","0226",81834,81833
"81834","Nuevo Le,"China","CHINA","0137",8997,-99.24,25.7058333333,"19","013","0001",81835,81834
"81835","Nuevo Le,"China","LOS ,"0120",6,-98.9522222222,25.0777777778,"19","013","0007",81836,81835
"81836","Nuevo Le,"China","ALTAMIRA","0171",7,-98.9663888889,25.1644444444,"19","013","0008",81837,81836
"81837","Nuevo Le,"China","LA AMISTAD","0109",1,-98.6102777778,25.3552777778,"19","013","0012",81838,81837
"81838","Nuevo Le,"China","BARRANCO DE REYES","0125",6,-98.9938888889,25.075,"19","013","0019",81839,81838
"81839","Nuevo Le,"China","EL BARROSO","0132",1,-98.7661111111,25.5038888889,"19","013","0023",81840,81839
"81840","Nuevo Le,"China","LAS BLANQUITAS","0169",1,-98.7661111111,25.5525,"19","013","0024",81841,81840
"81841","Nuevo Le,"China","LA BONITA (LA BONITA DOS)","0090",7,-98.6636111111,25.3041666667,"19","013","0026",81842,81841
